Agent1	Agent2	wrTu1sq	wrTu1ac1	wrTu1ac2	wrTu1neg	wrTu1cp1	wrTu1cp2	wrTu1wr1	wrTu1wr2	wrTu2sq	wrTu2ac2	wrTu2ac1	wrTu2neg	wrTu2cp2	wrTu2cp1	wrTu2wr2	wrTu2wr1	predicted	groundtruth
FRA	GBR	0.144826	-1.150264	1.351109	-0.382048	-1.843146	1.30663	-0.772967	-1.119408	0.147269	-1.148974	1.35313	0.190605	-1.613593	1.275593	-0.119241	-0.351551	Nego	War1
GBR	TUR	-0.05251	-1.21327	1.136127	0.753417	-1.376167	1.180083	0.715924	0.634475	-0.308055	-1.339443	0.868886	-0.715757	-2.057019	0.883716	-1.059714	-1.418502	Nego	Acq1
GBR	GRC	0.012811	-1.136907	1.156068	0.825128	-1.281235	1.145105	0.742001	0.669837	0.07304	-1.103542	1.211905	-0.798357	-1.971738	1.210217	-1.234143	-1.668241	Nego	Acq1
FRA	GBR	0.224996	-1.090439	1.402316	-0.402052	-1.814284	1.340183	-0.826108	-1.18803	0.012811	-1.203252	1.221588	0.259786	-1.599898	1.085835	-0.074289	-0.272612	Nego	War1
FRA	GRC	0.224996	-0.950912	1.290912	0.803667	-1.168255	1.114817	0.518901	0.41023	0.07304	-1.043068	1.155381	-0.70109	-1.887514	1.120382	-1.158312	-1.580535	Nego	Acq1
DEU	GRC	0.150222	-1.044318	1.267032	0.92733	-1.19129	1.138888	0.725701	0.652215	0.07304	-1.088693	1.19805	-0.825392	-1.973551	1.180753	-1.285118	-1.727546	Nego	Acq1
xxx	GRC	0.511026	-0.840256	1.557409	1.125188	-1.020524	1.138504	0.616149	0.526015	0.07304	-1.105696	1.213914	-0.884067	-2.01015	1.165088	-1.385121	-1.837348	Nego	Acq1
ITA	GRC	0.526423	-0.830045	1.567539	1.092316	-1.028254	1.145458	0.571131	0.472026	0.07304	-1.105696	1.213914	-0.863555	-2.001307	1.158961	-1.366313	-1.814119	Nego	Acq1
GRC	TUR	-0.767789	-1.493411	0.189092	-0.152706	-1.69656	0.800905	0.357534	0.25596	-0.147542	-1.18221	0.951027	-0.058975	-1.65567	1.355298	0.108566	-0.128164	War1	War1
RUS	GRC	0.19971	-0.966581	1.26923	0.833493	-1.16147	1.108441	0.575259	0.477814	0.07304	-1.043068	1.155381	-0.730736	-1.900999	1.127008	-1.188074	-1.61704	Nego	Acq1
