"RowIndex","Agent1","Agent2","CountryCode1","CountryCode2","Year","Theta1","Theta2","Lambda1","Lambda2","Prob_SQ","Prob_ACQ1","Prob_ACQ2","Prob_NEGO","Prob_CAP1","Prob_CAP2","Prob_WAR","Prediction","GroundTruth","PredictionCorrect","TotalProbability","U1_Acq1","U1_Acq2","U1_Cap1","U1_Cap2","U1_Nego","U1_SQ","U1_War1","U1_War2","U2_Acq1","U2_Acq2","U2_Cap1","U2_Cap2","U2_Nego","U2_SQ","U2_War1","U2_War2"
67,"BULGARIA","ROMANIA",355,360,1926,0,0,1,1,0.5426648433401681,0.0644806544328198,0.3511321877350271,0.020862059897283073,0.020440015262549856,0.00021226677072821225,0.00020797256142390217,"SQ","NEGO",0,1.,-0.888101,1.382568,-1.85955,1.373089,-0.82327,0.332023,-1.318474,-1.804198,1.703503,-0.541456,1.409772,-0.656785,1.444595,0.816796,1.035534,1.093199
68,"UNITED KINGDOM","RUSSIAN FEDERATION",200,365,1885,0,0,1,1,0.12896296666350548,0.1918481191061897,0.273027402073583,0.031912802441847576,0.10967670722950126,0.05963177686367984,0.20494022562169312,"ACQ2","NEGO",0,1.,-1.190834,1.229007,-1.809947,1.218864,-0.269146,0.02663,-0.588845,-0.898402,1.544067,-0.968822,1.534225,-1.599256,-0.040142,0.424942,-0.680417,-0.365201
69,"NETHERLANDS","BELGIUM",210,211,1969,0,0,1,1,0.05824079948648379,0.508874131422693,0.0444558433141464,0.17085768445796898,0.11432427930965884,0.061857306403378595,0.041389955605670554,"ACQ1","SQ",0,1.0000000000000002,0.857277,0.859342,0.348667,0.437578,0.858292,0.85831,0.182222,-0.072083,0.853856,0.851789,0.41805,0.359538,0.852839,0.852823,-0.075218,0.170907
70,"RUSSIAN FEDERATION","TURKEY",365,640,1945,0,0,1,1,0.29762381518611486,0.008158056211164801,0.6756968523410793,0.00017410636900952277,0.0002887141676414757,0.006793328962772753,0.011265126762217352,"ACQ2","NEGO",0,1.,-1.164469,0.340425,-1.366133,0.709659,0.036943,-0.462504,0.305345,0.204513,1.676217,-0.047705,1.731993,-0.927109,0.160193,1.,-0.663435,-0.223733
71,"ITALY","HUNGARY",325,310,1943,0,0,1,1,0.2305872933353791,0.013137002183680259,0.7155116289911686,0.00013011787302181694,0.00021443700925188566,0.015264047385726408,0.025155473221771914,"ACQ2","WAR",0,1.,-0.987927,1.398797,-1.33222,1.211219,0.577064,0.28607,0.21734,0.045193,1.642166,-0.758567,1.605346,-1.629854,-0.449563,0.640998,-1.357671,-0.922027
72,"RUSSIAN FEDERATION","GERMANY",365,255,1824,0,0,1,1,0.16397076634761043,0.08306074053353917,0.4997938214889489,0.01023495830354439,0.02828109665752794,0.05704171918236398,0.15761689748646518,"ACQ2","SQ",0,1.,-1.101138,1.271345,-1.573792,1.209627,0.149982,0.117036,-0.148064,-0.384391,1.295002,-1.085878,1.255054,-1.74455,-0.273217,0.144334,-0.971837,-0.642501
73,"ITALY","BULGARIA",325,355,1943,0,0,1,1,0.2247097385469362,0.02207723396237049,0.6858315929589724,0.003921498752766655,0.006602494541460273,0.021186481087996013,0.03567096014949787,"ACQ2","WAR",0,1.,-0.934517,1.358609,-1.058363,1.107969,1.074614,0.28607,0.76205,0.700126,1.71399,-0.55966,1.703941,-1.52453,-0.479788,0.820779,-1.454708,-0.972272
74,"RUSSIAN FEDERATION","ITALY",365,325,1941,0,0,1,1,0.18395557488507308,0.2556935268462831,0.23445896107246322,0.06538037482181223,0.13485405786542728,0.04102958034595657,0.0846279241629845,"ACQ1","WAR",0,1.,-0.485504,1.022743,-1.2023,0.937417,-0.058362,0.301285,-0.502086,-0.860484,1.30877,-0.21126,1.185223,-0.801194,0.412052,0.623641,-0.301429,-0.006462
75,"ITALY","SWEDEN",325,380,1942,0,0,1,1,0.23124440508034902,0.019226725419751498,0.6919933533736387,0.0021717474867873764,0.003810991949092653,0.018713770575197505,0.032839006115183325,"ACQ2","CAP2",0,1.,-0.906836,1.376774,-1.065395,1.110396,1.014686,0.316573,0.669029,0.589749,0.923769,-1.192713,0.882294,-2.061699,-0.915425,-0.170915,-1.825886,-1.391393
76,"UNITED KINGDOM","SPAIN",200,230,1969,0,0,1,1,0.2714743889085042,0.027926506604696182,0.635250984919027,0.0037060300330615595,0.00684282909579521,0.019252101340573518,0.03554715909834241,"ACQ2","NEGO",0,1.0000000000000002,-0.486481,1.552264,-0.951099,1.184346,0.605026,0.687208,0.004798,-0.227511,0.93591,-1.000593,0.761838,-1.747289,-0.510069,-0.039262,-1.430837,-1.057489
77,"TURKEY","FRANCE",640,220,1938,0,0,1,1,0.20008318576917078,0.2957048534232582,0.20348279394885344,0.12747599478573585,0.14150976672192267,0.015043629641704623,0.01669977570935442,"ACQ1","NEGO",0,1.,-0.186723,0.34953,-1.06302,0.339327,-0.120387,0.08248,-0.568739,-1.006887,0.701465,0.1433,0.631865,-0.012872,0.614295,0.428801,0.388525,0.46661
78,"GREECE","ALBANIA",350,339,1948,0,0,1,1,0.500298061138432,0.01949233780569176,0.4622015582364401,0.0035497670928616013,0.008741186912722182,0.0016511601726896716,0.004065928641162762,"SQ","WAR",0,1.,-1.045794,1.077372,-1.8308,1.073052,-0.589327,0.020092,-0.98615,-1.378653,1.462122,-0.755244,1.447892,-1.04702,0.815147,0.471403,0.509141,0.655029
79,"FRANCE","UNITED KINGDOM",220,200,1888,0,0,1,1,0.00020642272008962882,0.43586534726825,0.00026694596437061146,0.04833375934325864,0.1815961934715283,0.07015393014972064,0.26357740108278216,"ACQ1","NEGO",0,1.,-1.207796,1.054703,-1.881315,1.087803,-0.469134,-0.101386,-0.772792,-1.109552,1.313387,-1.054651,1.378171,-1.415677,0.458464,0.178014,0.162221,0.342734
80,"UNITED STATES","NORWAY",2,385,1972,0,0,1,1,0.5226966190429794,0.004531294687578419,0.4687088157423,0.0004761112933516792,0.0008234424922178513,0.001012529659717951,0.0017511870818548013,"SQ","SQ",1,1.,-0.565962,-0.463026,-1.446027,-0.401289,-0.553617,-0.514754,-0.931912,-1.371945,0.881917,0.754866,1.326971,0.619461,0.864713,0.819129,1.174363,1.242065
81,"GERMANY","ROMANIA",255,360,1940,0,0,1,1,0.314235335771777,0.06072457525379689,0.5238151505116614,0.010187546474700953,0.018710103635266557,0.025498184408740722,0.046829103944056455,"ACQ2","CAP2",0,0.9999999999999999,-0.516435,0.596452,-1.032467,0.575926,0.022167,0.042412,-0.256376,-0.514392,1.176781,0.012772,1.16185,-0.635173,0.422567,0.639743,-0.24031,0.083663
82,"RUSSIAN FEDERATION","FINLAND",365,375,1941,0,0,1,1,0.3637390844800842,0.0011172784043182037,0.6331986737229373,0.00004576118552143261,0.0000637521400128252,0.0007669602820234892,0.001068489785102636,"ACQ2","WAR",0,1.,-0.289769,0.855077,-0.391073,0.584314,0.7391,0.301285,0.417684,0.367032,0.521346,-0.566437,0.495093,-1.4793,-0.471651,-0.023832,-1.410766,-0.954335
