"RowIndex","Agent1","Agent2","CountryCode1","CountryCode2","Year","Theta1","Theta2","Lambda1","Lambda2","Prob_SQ","Prob_ACQ1","Prob_ACQ2","Prob_NEGO","Prob_CAP1","Prob_CAP2","Prob_WAR","Prediction","GroundTruth","PredictionCorrect","TotalProbability","U1_Acq1","U1_Acq2","U1_Cap1","U1_Cap2","U1_Nego","U1_SQ","U1_War1","U1_War2","U2_Acq1","U2_Acq2","U2_Cap1","U2_Cap2","U2_Nego","U2_SQ","U2_War1","U2_War2"
358,"PARAGUAY","BRAZIL",150,140,1928,0,0,1,1,0.4973178550264635,0.10853855404154739,0.3235331710301688,0.03614632967066281,0.03446370206835936,1.9870633281810033e-7,1.894564653101526e-7,"SQ","ACQ2",0,1.,-0.951845,1.176217,-1.914983,1.170936,-0.873401,0.143259,-1.360251,-1.84182,0.97574,-1.078114,0.838714,-1.121618,0.886391,-0.06394,0.705861,0.727612
359,"UNITED KINGDOM","RUSSIAN FEDERATION",200,365,1897,0,0,1,1,0.15305945515632416,0.08234645838429173,0.49713430104222583,0.010142394875089751,0.0289651513265186,0.059222293538831426,0.16912994567671844,"ACQ2","ACQ2",1,1.,-1.231887,1.168831,-1.70853,1.191687,0.024545,-0.043673,-0.190919,-0.429241,1.521778,-0.998319,1.534994,-1.695711,-0.235718,0.386353,-0.919894,-0.571198
360,"ISRAEL","EGYPT",666,651,1962,0,0,1,1,0.07939757265409055,0.08011701640575318,0.41834732404813924,0.000383903936374408,0.001296946720968751,0.09603184397282327,0.32442539226185063,"ACQ2","ACQ2",1,1.,-1.349473,0.993696,-1.470535,1.206782,0.710027,-0.242436,0.862583,0.802052,0.30591,-1.581545,0.430761,-2.066558,-0.609532,-0.789871,-0.969694,-0.727187
361,"UNITED KINGDOM","TURKEY",200,640,1876,0,0,1,1,0.19458288923608194,0.029311206137261764,0.6745016165951894,0.0024327441563699067,0.004844831487055646,0.031531483779065166,0.06279522860897621,"ACQ2","ACQ2",1,1.,-1.195678,1.08984,-1.346489,1.149776,0.745159,-0.070581,0.729691,0.654285,1.156915,-1.158795,1.169067,-1.986633,-0.760117,-0.001266,-1.575803,-1.161884
362,"MOZAMBIQUE","MALAWI",541,553,1986,0,0,1,1,0.23406333975177887,0.02340337283263913,0.6750380248567989,0.0026385798817815252,0.0045624905116178035,0.022092693689215653,0.03820149847616818,"ACQ2","ACQ2",1,1.,-0.847656,1.339278,-0.990936,1.063861,1.025933,0.321479,0.678875,0.607235,0.364067,-1.379,0.305158,-2.195756,-1.059595,-0.59901,-1.93526,-1.526882
363,"UNITED STATES","JAPAN",2,740,1932,0,0,1,1,0.19090726423076854,0.19265445917983737,0.3068151428259981,0.046549191522500505,0.12736772553703765,0.03632202536099055,0.09938419134286729,"ACQ2","ACQ2",1,1.,-0.655443,1.594809,-1.348484,1.396879,0.035293,0.644809,-0.509158,-0.855678,1.201531,-0.998113,1.005684,-1.694383,-0.330016,0.132507,-1.222134,-0.873999
364,"ITALY","UNITED KINGDOM",325,200,1890,0,0,1,1,0.19582691933676818,0.2544872088283751,0.2390404478823939,0.08638422056334914,0.14914415180742488,0.02755051498290857,0.047566536598780206,"ACQ1","ACQ2",0,1.,-0.131226,1.448723,-0.857488,1.239652,0.301266,0.763761,-0.270935,-0.634066,0.919311,-0.639364,0.59303,-1.212161,0.026506,0.157922,-0.872572,-0.586173
365,"UNITED KINGDOM","TURKEY",200,640,1895,0,0,1,1,0.1670270955274611,0.04314623476653999,0.6276840854478565,0.001481360216708543,0.0034233495407539703,0.04749025800980806,0.10974761649087184,"ACQ2","ACQ2",1,1.,-1.21327,1.136127,-1.376167,1.180083,0.753417,-0.05251,0.715924,0.634475,0.868886,-1.339443,0.883716,-2.057019,-0.715757,-0.308055,-1.418502,-1.059714
366,"FRANCE","RUSSIAN FEDERATION",220,365,1840,0,0,1,1,0.44853693621050866,0.17208850445054702,0.2741806754503218,0.026215607993789376,0.06488360162477147,0.0040560226264443975,0.010038651643617186,"SQ","ACQ2",0,0.9999999999999999,-0.824384,1.48249,-1.750028,1.448939,-0.652854,0.451222,-1.149227,-1.612049,1.688435,-0.590735,1.45785,-1.079712,0.573974,0.776106,-0.145588,0.098901
367,"UNITED KINGDOM","HAITI",200,41,1887,0,0,1,1,0.2306090059980903,0.020739893456100045,0.686876634475621,0.0017900569073551727,0.0032048949134079957,0.020348256665051547,0.03643125758437391,"ACQ2","ACQ2",1,0.9999999999999999,-0.927004,1.291212,-1.097052,1.092489,0.914008,0.23944,0.630261,0.545237,0.874189,-1.181926,0.835036,-2.018407,-0.845712,-0.192544,-1.721346,-1.303105
368,"UNITED STATES","NICARAGUA",2,93,1910,0,0,1,1,0.2175321506038838,0.022493002797415677,0.6887568258693049,0.005290465196878198,0.00927335378852161,0.02058025322094444,0.036073948523051416,"ACQ2","ACQ2",1,1.,-1.188126,0.915653,-1.197866,1.086544,0.895162,-0.172571,1.061183,1.056313,1.013355,-1.136235,1.016338,-2.118949,-1.099076,-0.078732,-2.078807,-1.58745
369,"UNITED KINGDOM","PORTUGAL",200,235,1831,0,0,1,1,0.40216835329486317,0.054471613675144984,0.47854376650361546,0.0029834554780992246,0.0039048439600648938,0.025089720953033953,0.03283824613517826,"ACQ2","ACQ2",1,1.,-0.140103,0.217328,-0.407615,0.18888,0.121711,0.038837,-0.040493,-0.174249,0.364062,-0.002466,0.354112,-0.746268,0.091438,0.181916,-0.662314,-0.290413
370,"UNITED KINGDOM","GREECE",200,350,1922,0,0,1,1,0.2200345406930859,0.022418443963217047,0.6875003407809572,0.004003808863964194,0.007095298286697169,0.02126430439042505,0.03768326302165338,"ACQ2","ACQ2",1,1.,-1.114129,1.024251,-1.185353,1.077568,0.871947,-0.057406,0.889653,0.854041,1.245728,-0.975065,1.249197,-1.914651,-0.840898,0.177657,-1.777016,-1.307223
371,"UNITED STATES","BRAZIL",2,140,1903,0,0,1,1,0.21757157096055854,0.029799671782186142,0.6619630448994729,0.002257184339868348,0.004538149631562783,0.02785895519902387,0.056011423187327394,"ACQ2","ACQ2",1,1.,-1.220032,0.714995,-1.293116,1.000029,0.573575,-0.307509,0.822068,0.785526,0.894434,-1.128838,0.951163,-1.94436,-0.75559,-0.145349,-1.514384,-1.106623
372,"LIBYAN ARAB JAMAHIRIYA","UNITED STATES",620,2,1982,0,0,1,1,0.05721557400245536,0.2842650132790284,0.11033589490518225,0.03232332242877159,0.1644433617852132,0.057728063389922285,0.29368877020942685,"WAR1","ACQ2",0,0.9999999999999999,-1.67286,1.648786,-2.35835,1.657821,-0.628171,-0.028726,-0.961881,-1.304627,1.891161,-1.524998,1.901297,-2.172151,-0.319616,0.537033,-0.956633,-0.633056
373,"UNITED STATES","NICARAGUA",2,93,1982,0,0,1,1,0.4076673676492532,0.00017943941798233656,0.5918926646597585,5.781624039702669e-6,9.862494498777233e-6,0.00009050226197974329,0.0001543818924877752,"ACQ2","ACQ2",1,1.,-0.841403,-0.120442,-1.093826,0.248215,-0.302429,-0.493135,-0.059983,-0.186194,1.070471,0.178061,1.186797,-0.586049,0.388572,0.651171,-0.259211,0.122843
