RowIndex,Agent1,Agent2,CountryCode1,CountryCode2,Year,Theta1,Theta2,Lambda1,Lambda2,Prob_SQ,Prob_ACQ1,Prob_ACQ2,Prob_NEGO,Prob_CAP1,Prob_CAP2,Prob_WAR,Prediction,GroundTruth,PredictionCorrect,TotalProbability,U1_Acq1,U1_Acq2,U1_Cap1,U1_Cap2,U1_Nego,U1_SQ,U1_War1,U1_War2,U2_Acq1,U2_Acq2,U2_Cap1,U2_Cap2,U2_Nego,U2_SQ,U2_War1,U2_War2
58,BRAZIL,URUGUAY,140,165,1896,0,0,1,1,0.092679018,0.116784158,0.349780702,0.030204356,0.067035897,0.106701445,0.236814423,ACQ2,SQ,0,1,-1.087741,0.979562,-1.204411,1.039451,0.738369,-0.067799,0.739922,0.681587,0.833915,-1.166799,0.847408,-1.967785,-0.768628,-0.20544,-1.55612,-1.155627
59,CHINA,MONGOLIA,710,712,1968,0,0,1,1,0.100510488,0.158462851,0.287600846,0.029957072,0.075632003,0.098686065,0.249150675,ACQ2,SQ,0,1,-1.015962,1.231822,-1.412983,1.145784,0.339404,0.142689,0.054855,-0.143656,1.352724,-0.928857,1.314813,-1.663165,-0.322659,0.284834,-1.094877,-0.727724
60,HONDURAS,RUSSIAN FEDERATION,91,365,1973,0,0,1,1,0.125060941,0.282871774,0.181511532,0.033561585,0.09281353,0.07547018,0.208710459,ACQ1,SQ,0,1,-0.898292,1.733222,-1.764635,1.642977,-0.546571,0.675202,-1.069988,-1.503159,1.544076,-1.089125,1.312625,-1.746336,-0.186494,0.351321,-1.075156,-0.746551
61,None,FRANCE,273,220,1822,0,0,1,1,0.145054206,0.191269563,0.286239146,0.033938624,0.072171162,0.086782525,0.184544774,ACQ2,SQ,0,1,-0.792775,1.638414,-1.500099,1.457249,-0.081223,0.618992,-0.616049,-0.969711,1.825676,-0.504239,1.757026,-1.393333,-0.245839,1,-1.203583,-0.759036
62,RUSSIAN FEDERATION,NETHERLANDS,365,210,1897,0,0,1,1,0.107692669,0.148209789,0.313142167,0.035248588,0.077448339,0.09954274,0.218715709,ACQ2,SQ,0,1,-0.847479,1.421151,-1.147881,1.150859,0.739649,0.386353,0.319157,0.168956,1.086108,-1.085536,1.013303,-1.897095,-0.676309,0.000369,-1.560673,-1.154894
63,CHINA,SAUDI ARABIA,710,670,1987,0,0,1,1,0.103744323,0.120132717,0.359654348,0.035063574,0.070982627,0.102639407,0.207783003,ACQ2,SQ,0,1,-0.936277,1.192881,-1.05224,1.047917,0.945978,0.16398,0.743032,0.685051,0.884883,-1.125446,0.866135,-2.011119,-0.895611,-0.148695,-1.800031,-1.357195
64,GHANA,TOGO,452,461,1980,0,0,1,1,0.255931708,0.217597041,0.284545947,0.039831029,0.051852882,0.065270659,0.084970734,ACQ2,SQ,0,1,-0.578431,-0.533723,-0.786083,-0.093074,-0.543007,-0.55613,-0.206184,-0.31001,0.286087,0.22953,0.40343,-0.559471,0.241464,0.257847,-0.430194,-0.035694
65,ICELAND,FRANCE,395,220,1977,0,0,1,1,0.280631677,0.248839272,0.249391127,0.075408126,0.031080329,0.08118722,0.033462249,SQ,SQ,1,1,0.886645,0.888699,-0.113109,0.88848,0.886645,0.887672,0.38655,-0.113327,0.801637,0.799553,-0.085815,0.799306,0.801637,0.800595,-0.086063,-0.08594
66,PERU,COLOMBIA,135,100,1982,0,0,1,1,0.275548552,0.250235861,0.248522807,0.051217833,0.056239502,0.056355048,0.061880397,SQ,SQ,1,1,-0.05739,-0.055416,-0.571839,-0.02803,-0.056432,-0.056403,-0.28627,-0.543494,0.042672,0.040654,0.071689,-0.444888,0.041692,0.041663,-0.414833,-0.172062
67,UNITED KINGDOM,"IRAN, ISLAMIC REPUBLIC OF",200,630,1972,0,0,1,1,0.21948896,0.251262158,0.246763698,0.058921917,0.068193614,0.072018563,0.08335109,ACQ1,SQ,0,1,0.315212,1.095515,-0.318855,0.828698,0.600751,0.729142,0.0169,-0.300134,0.702646,-0.078055,0.385806,-0.643517,0.261189,0.32151,-0.621113,-0.338382
68,DOMINICAN REPUBLIC,FRANCE,42,220,1987,0,0,1,1,0.124226878,0.233166339,0.223364716,0.03236576,0.088011897,0.080355225,0.218509185,ACQ1,SQ,0,1,-1.469529,1.906224,-2.364234,1.840038,-1.114079,0.628572,-1.627617,-2.07497,1.959054,-1.362236,1.867301,-2.216265,-0.877425,0.917241,-1.823207,-1.396192
69,CAMBODIA,LAO PEOPLE'S DEMOCRATIC REPUBL,811,812,1988,0,0,1,1,0.104945572,0.192124428,0.248323259,0.030855412,0.082666959,0.092706826,0.248377544,WAR,SQ,0,1,-0.96753,1.120223,-1.444259,1.069812,0.124931,0.096339,-0.163844,-0.402208,1.125306,-0.964142,1.089582,-1.593323,-0.189334,0.10174,-0.854238,-0.539648
70,PAKISTAN,"IRAN, ISLAMIC REPUBLIC OF",770,630,1976,0,0,1,1,0.269810091,0.263139241,0.236448337,0.052179103,0.055954111,0.059096816,0.063372301,SQ,SQ,1,1,-0.033945,0.027077,-0.758243,0.028024,-0.017121,-0.003435,-0.378323,-0.740472,-0.005794,-0.066361,-0.003298,-0.339439,-0.022334,-0.036083,-0.292915,-0.156376
