Agent1,Agent2,wrTu1sq,wrTu1ac1,wrTu1ac2,wrTu1neg,wrTu1cp1,wrTu1cp2,wrTu1wr1,wrTu1wr2,wrTu2sq,wrTu2ac2,wrTu2ac1,wrTu2neg,wrTu2cp2,wrTu2cp1,wrTu2wr2,wrTu2wr1,groundtruth
IRQ,TUR,-0.547089,-1.795835,1.244701,0.659305,-1.988366,1.686459,1.004798,0.908533,0.914286,-1.438121,1.967611,-1.124591,-2.346062,2.017976,-1.528196,-1.982167,Cap2
FRA,THA,0.063138,-1.065779,1.162046,0.893391,-1.18637,1.106522,0.777572,0.717277,0.008197,-1.097393,1.109975,-0.85054,-1.985561,1.102915,-1.301685,-1.745769,Cap2
ZAF,BWA,0.2585,-0.871558,1.27299,1.035946,-0.982091,1.043062,0.750752,0.695485,-0.145661,-1.120643,0.884691,-0.912346,-2.016771,0.85784,-1.387261,-1.835325,Cap2
FRA,TUR,0.136543,-1.10921,1.304823,0.645884,-1.382172,1.205551,0.410131,0.27365,-0.293127,-1.329418,0.881799,-0.595897,-1.997691,0.836504,-0.975328,-1.309464,Cap2
DEU,HUN,-0.165769,-0.746209,0.435925,0.387654,-0.787043,0.594925,0.526237,0.50582,0.494676,-0.197324,1.103679,-0.161334,-1.169661,1.108265,-0.642917,-1.129086,Cap2
USA,CUB,-0.153972,-1.130592,0.881623,0.851597,-1.145514,1.033297,0.995811,0.98835,-0.190695,-1.151616,0.842011,-1.087134,-2.119272,0.846991,-1.565982,-2.049809,Cap2
ITA,FRA,0.670288,-0.17893,1.35305,0.326916,-0.848739,1.131727,-0.229311,-0.564216,0.403519,-0.410134,1.12457,0.031665,-1.122262,0.931613,-0.517356,-0.87342,Cap2
EGY,DEU,0.85872,-0.887697,1.846798,-0.862351,-1.878428,1.838838,-1.365676,-1.861041,-0.35104,-1.484148,0.996076,0.943956,-1.505162,0.155401,0.092774,0.082267,Cap2
RUS,TUR,0.237551,-1.014625,1.35838,0.749067,-1.271394,1.181825,0.444127,0.315743,-0.183285,-1.245809,0.965042,-0.722004,-2.008885,0.908761,-1.159823,-1.541361,Cap2
RUS,KOR,0.085905,-1.055095,1.185518,0.051453,-1.561235,1.143093,-0.244042,-0.497112,0.001217,-1.103839,1.105706,-0.075489,-1.638427,1.065725,-0.382764,-0.650058,Cap2
IRQ,KWT,-0.493189,-0.515333,-0.470953,-0.482197,-0.768707,-0.102725,-0.240657,-0.367343,0.050962,0.024573,0.077337,0.038423,-0.712944,0.206791,-0.200882,-0.569641,Cap2
ECU,USA,-0.454242,-0.888046,0.01463,-0.758685,-1.744738,0.079726,-1.121934,-1.55028,-0.50783,-0.929943,-0.047829,-0.091705,-0.979682,0.383819,0.315073,0.290203,Cap2
xxx,xxx,0.078574,-1.510046,1.589599,-0.359175,-2.138754,1.560425,-0.702703,-1.017058,0.790174,-1.232296,1.902424,-0.897266,-2.125419,1.894026,-1.352225,-1.798787,Cap2
GBR,DEU,-0.190466,-1.312167,1.03237,-0.037434,-1.768464,1.135927,-0.162025,-0.390173,0.104141,-1.165599,1.311557,0.110174,-1.650583,1.409649,-0.034225,-0.276717,Cap2
ETH,DEU,-0.253092,-1.340804,0.964947,-1.326594,-2.334641,0.966507,-1.821952,-2.318871,0.82325,-0.724879,1.775827,1.725611,-0.744959,2.023836,1.96358,1.95354,Cap2
SLE,LBR,0.104853,0.103832,0.105874,0.104956,-0.345763,0.048163,-0.177553,-0.40235,0.424067,0.423008,0.425125,0.423959,-0.127671,0.378013,0.101507,-0.173832,Cap2
DEU,VEN,-0.25659,-1.294532,0.900338,0.128045,-1.646394,1.066643,0.11842,-0.057511,-0.497895,-1.409957,0.617111,0.070406,-1.679659,0.804498,0.122942,-0.011909,Cap2
RUS,GRC,0.386353,-0.847479,1.421151,0.875756,-1.087886,1.12768,0.462081,0.341878,0.109999,-1.021085,1.189503,-0.716853,-1.88346,1.136331,-1.201212,-1.6324,Cap2
USA,LBY,0.518689,-1.530523,1.886191,-0.669276,-2.278454,1.755446,-1.173987,-1.547952,0.074225,-1.648898,1.708576,-0.409782,-2.279836,1.517148,-0.91668,-1.232149,Cap2
GBR,RUS,0.810439,-1.248896,1.913074,-0.94981,-2.154307,1.836416,-1.479174,-1.931879,-0.469199,-1.682393,1.127884,0.576765,-1.878502,0.47638,-0.172794,-0.270849,Cap2
PER,USA,-0.481588,-0.88254,-0.048763,-0.500907,-1.424824,0.171668,-0.551619,-0.822761,-0.478343,-0.879953,-0.045009,-0.236321,-1.109083,0.326232,0.020356,-0.09421,Cap2
MMR,THA,0.181454,-0.913448,1.198587,-0.250956,-1.599774,1.141669,-0.651037,-0.994199,-0.069355,-1.068805,0.956972,0.212387,-1.436361,0.842212,-0.08615,-0.269928,Cap2
